College ID,Country,Total Students,Male,Female,CGPA,Annual Family Income,Branch,Sports,Research Papers Published,Placement Rate,Faculty Count
College 69,Canada,5876,5656,220,10.0,3374085,Civil Engineering,Swimming,12,94.16,166
College 53,UK,21561,2871,7809,8.532308,3484616,Biotechnology,Athletics,24,79.63000000000001,302
College 96,Switzerland,26284,7279,4733,8.3980215,876043,Business Administration,Cricket,23,86.89999999999999,338
College 52,Singapore,18438,13194,5244,7.872276,784552,Mechanical Engineering,Cricket,13,96.7,524
College 88,Canada,17782,2707,8326,7.974498499999999,1588997,Computer Science,Athletics,19,75.7,322
College 83,Switzerland,21449,1194,12932,8.199176,3458352,Civil Engineering,Basketball,25,65.69,469
College 12,South Africa,29181,1096,7545,9.101926,4023852,Mechanical Engineering,Cricket,33,76.06,700
College 52,Canada,25260,8574,14078,9.397153,2334306,Business Administration,Tennis,25,87.89,409
College 1,UK,3039,8515,-5476,6.6336675000000005,2287335,Civil Engineering,Swimming,23,92.91,141
College 7,Japan,1271,696,575,10.0,4499287,Computer Science,Cricket,46,100.0,293
College 17,UK,23395,10530,2986,10.0,4707353,Economics,Tennis,0,72.57,415
College 98,South Africa,16520,10686,5834,10.0,4102259,Mathematics,Badminton,26,80.86999999999999,394
College 43,India,7440,8671,-1231,8.921858499999999,4263717,Chemical Engineering,Athletics,9,93.79,497
College 71,Switzerland,10603,14190,-3587,8.653044999999999,4446090,Economics,Tennis,8,89.07,167
College 17,South Africa,3912,2930,982,9.7801075,4700215,Economics,Swimming,13,91.46,294
College 59,UK,21827,14185,967,8.142138000000001,3824276,Electrical Engineering,Cricket,9,62.74,512
College 3,Switzerland,23730,5654,11252,8.8347125,4109425,Computer Science,Volleyball,38,77.13,585
College 29,Switzerland,25388,8610,4037,9.3077445,2695489,Mechanical Engineering,Badminton,29,93.31,320
College 22,USA,3985,5923,-1938,10.0,3495986,Civil Engineering,Chess,7,72.07000000000001,152
College 38,Japan,25454,4365,11977,10.0,3695778,Physics,Swimming,49,76.0,622
College 54,China,24666,11536,8241,8.215347,850694,Biotechnology,Tennis,26,68.92999999999999,591
College 93,Switzerland,5631,8110,-2479,7.8524725,2284945,Biotechnology,Football,47,100.0,311
College 50,USA,22035,2050,11202,6.8352525,2350505,Mechanical Engineering,Volleyball,43,95.34,479
College 69,China,6873,6586,287,7.7361325,2312265,Chemical Engineering,Cricket,41,100.0,445
College 30,China,7211,2372,3554,10.0,3133602,Mathematics,Football,7,99.45,304
College 23,USA,24179,6488,5956,6.585824000000001,1871648,Economics,Athletics,48,75.89999999999999,471
College 85,Australia,22686,5755,11658,8.25751,2915020,Economics,Swimming,27,82.46000000000001,313
College 90,USA,25835,3612,1217,10.0,4956630,Computer Science,Football,27,73.09,590
College 47,China,15168,1908,2379,8.373181,1266362,Civil Engineering,Volleyball,46,83.86999999999999,627
College 21,India,16106,6134,9972,9.014915,2109830,Business Administration,Volleyball,26,100.0,551
College 20,UK,14264,8003,6261,8.311489,2022978,Business Administration,Cricket,2,71.62,237
College 23,India,20353,13327,7026,9.106674,3333348,Mathematics,Badminton,5,79.25,515
College 68,Australia,11298,3248,8050,5.9252355,850471,Physics,Basketball,20,68.52,381
College 21,Singapore,27737,9132,11781,10.0,4952631,Economics,Tennis,16,91.41,414
College 21,USA,20720,2782,13375,6.9052750000000005,750550,Chemical Engineering,Football,31,70.99,419
College 1,Switzerland,29333,4397,717,6.6297005,2379401,Civil Engineering,Athletics,27,78.89,770
College 15,Switzerland,18164,1547,7016,10.0,3389064,Electrical Engineering,Chess,3,66.53999999999999,348
College 17,Canada,14444,3950,8875,7.1496375,1299275,Electrical Engineering,Badminton,43,96.67,395
College 51,Switzerland,7766,11863,-4097,9.351764,3863528,Chemical Engineering,Cricket,28,70.11999999999999,509
College 63,India,4582,3925,657,8.9924095,1984819,Economics,Tennis,25,96.96,204
College 14,UK,29026,9175,10083,7.961873000000001,4283746,Mechanical Engineering,Tennis,9,96.13,704
College 59,India,21532,3389,6450,8.0983525,4196705,Civil Engineering,Swimming,47,81.38000000000001,550
College 83,USA,23651,3877,12661,9.7463305,952661,Mechanical Engineering,Tennis,45,100.0,439
College 50,India,17444,6820,5067,9.8668575,3033715,Electrical Engineering,Volleyball,19,83.2,563
College 34,South Africa,3436,7616,-4180,7.5652025,1710405,Mechanical Engineering,Badminton,36,100.0,354
College 6,Switzerland,26419,13499,1767,7.273374,426748,Biotechnology,Tennis,20,88.03,505
College 49,South Africa,26563,7379,9989,7.4469655,453931,Business Administration,Volleyball,12,72.93,750
College 6,Canada,22961,1779,7047,8.413953999999999,427908,Chemical Engineering,Volleyball,7,71.69,456
College 69,China,2408,14591,-12183,9.040649,2861298,Mathematics,Chess,10,69.72,277
College 7,USA,6538,1437,5101,7.592838,1385676,Mathematics,Badminton,49,75.33000000000001,438
College 97,India,10883,4980,1628,9.7996975,4659395,Business Administration,Tennis,20,87.27,600
College 77,Japan,18202,12702,5500,5.9071075,1234215,Mathematics,Volleyball,21,82.36999999999999,306
College 51,Switzerland,23977,12976,11001,8.038794000000001,1617588,Economics,Badminton,19,63.54,607
College 1,USA,17964,3214,10522,9.076026,4252052,Physics,Chess,48,81.78,321
College 13,Singapore,28808,7613,14569,8.8613405,1422681,Electrical Engineering,Chess,44,100.0,457
College 43,Switzerland,13254,11571,1683,8.506077,2312154,Mechanical Engineering,Basketball,2,99.83,531
College 27,South Africa,20790,14532,6258,6.4946165,609233,Computer Science,Swimming,46,99.9,612
College 71,Australia,19752,8903,5580,10.0,3869456,Chemical Engineering,Basketball,46,100.0,593
College 3,Switzerland,11611,4005,5271,8.5323595,1964719,Mathematics,Athletics,14,88.44000000000001,392
College 58,Canada,15940,7743,861,7.873523,1907046,Business Administration,Badminton,14,100.0,287
College 89,Canada,20223,12740,3061,10.0,4890026,Chemical Engineering,Football,47,87.36,453
College 97,South Africa,26096,6088,4428,8.1591755,478351,Chemical Engineering,Volleyball,33,74.55,640
College 17,China,8870,9373,-503,9.658316500000002,1376633,Mechanical Engineering,Swimming,13,98.28,554
College 45,USA,11658,2664,1497,10.0,4419386,Physics,Tennis,36,64.7,199
College 78,Switzerland,21796,3792,12714,8.018691,2337382,Biotechnology,Football,32,81.37,343
College 58,USA,17015,13920,3095,8.932791,4345582,Electrical Engineering,Athletics,16,71.38,233
College 56,Switzerland,1327,14500,-13173,5.38651,733020,Economics,Tennis,43,90.25,417
College 54,South Africa,29487,9539,9935,9.140353,4400706,Biotechnology,Basketball,16,72.47999999999999,712
College 87,Singapore,9726,14198,-4472,10.0,4848762,Business Administration,Volleyball,34,66.10000000000001,376
College 88,Japan,13733,4092,1711,7.7929925,1005985,Business Administration,Swimming,45,90.09,367
College 29,Japan,25046,3236,6383,7.664878,3309756,Biotechnology,Basketball,10,64.53,428
College 54,USA,27810,7272,6261,9.5045575,2609115,Mathematics,Volleyball,0,60.96,471
College 27,UK,9912,8104,1808,8.7039275,2987855,Computer Science,Badminton,12,91.97,171
College 45,China,26178,8737,11446,9.821778,4723556,Economics,Swimming,30,71.07,313
College 87,India,6852,11314,-4462,8.1799415,4519883,Business Administration,Tennis,9,64.15,200
College 31,UK,7462,12543,-5081,9.1651185,2370237,Biotechnology,Swimming,22,71.13000000000001,425
College 36,Japan,28914,6103,9548,8.304355000000001,2148710,Computer Science,Basketball,9,76.26,361
College 81,South Africa,21054,3483,13430,9.3771715,2174343,Chemical Engineering,Swimming,28,68.92999999999999,273
College 61,India,14507,14940,-433,8.766207,1972414,Economics,Athletics,25,81.71,427
College 37,Australia,14648,2058,12302,7.423552,3067104,Mechanical Engineering,Tennis,4,61.57,311
College 67,USA,25394,836,1624,7.155334000000001,510668,Chemical Engineering,Badminton,41,100.0,697
College 36,Australia,4591,14723,-10132,9.4154375,2690875,Computer Science,Swimming,4,89.99000000000001,423
College 5,China,26074,2374,4102,9.6881605,2036321,Chemical Engineering,Tennis,45,84.03,635
College 46,Australia,5185,8513,-3328,8.077097,474194,Computer Science,Cricket,39,96.29,299
College 79,India,24036,7381,5160,9.2019255,4583851,Chemical Engineering,Football,35,69.13,587
College 52,Japan,24283,13007,11276,8.27866,3697320,Physics,Volleyball,0,64.92,472
College 49,China,16536,11916,4620,10.0,4403303,Electrical Engineering,Football,8,75.92999999999999,441
College 6,USA,9711,1244,8467,10.0,4338948,Civil Engineering,Badminton,44,100.0,452
College 10,India,25518,3741,2788,8.4391745,1138349,Biotechnology,Volleyball,15,61.95,628
College 96,South Africa,20570,1639,8006,9.05683,3593660,Business Administration,Cricket,3,65.03,292
College 23,Australia,27657,11064,14027,8.412918,485836,Computer Science,Tennis,4,92.01,461
College 17,India,23047,13618,2432,7.497140499999999,394281,Physics,Cricket,49,80.32000000000001,578
College 84,China,20555,11125,9430,10.0,4981104,Computer Science,Badminton,41,69.07,449
College 44,South Africa,10036,873,2823,9.57207,3744140,Mathematics,Basketball,30,98.25,502
College 41,South Africa,12869,13095,-226,8.348466,2296932,Civil Engineering,Tennis,10,91.73,334
College 15,Switzerland,10598,7309,3289,8.367695999999999,1695392,Mathematics,Cricket,34,83.37,578
College 44,South Africa,4776,5073,-297,10.0,3683801,Computer Science,Cricket,35,100.0,480
College 58,India,11747,2067,2639,10.0,1812209,Business Administration,Volleyball,20,89.92,192
College 86,UK,27872,11171,10017,9.0723115,764623,Electrical Engineering,Cricket,10,83.66,754
College 50,Canada,7462,10618,-3156,9.1225165,4965033,Physics,Basketball,43,65.47,286
College 52,UK,25116,11221,3559,9.7887435,4757487,Chemical Engineering,Basketball,41,96.97,646
College 70,Canada,16970,8048,6482,8.367066,1454132,Economics,Swimming,38,79.88,500
College 68,UK,23594,12935,3802,7.64724,1734480,Civil Engineering,Badminton,13,62.95,452
College 63,Singapore,10373,5238,3975,8.6798095,2339619,Economics,Volleyball,41,66.57,589
College 58,Singapore,24098,8538,4139,8.7406855,4241371,Business Administration,Basketball,45,93.77,706
College 23,Japan,16215,14270,1004,8.599362,4718724,Mechanical Engineering,Football,11,77.69,391
College 44,China,20864,8940,10371,7.9934215,1046843,Chemical Engineering,Badminton,16,72.05999999999999,542
College 83,China,21640,8504,593,10.0,4552235,Mathematics,Volleyball,44,66.43,585
College 95,Singapore,1527,4168,-2641,8.713809,2367618,Civil Engineering,Athletics,38,96.91,288
College 44,Switzerland,24088,14789,602,8.64553,2331060,Computer Science,Basketball,8,66.78,541
College 52,Singapore,26070,10878,6642,8.3606735,1641347,Mathematics,Basketball,6,95.0,740
College 67,India,3844,2568,1276,9.1791285,3258257,Mathematics,Volleyball,24,69.54,350
College 28,Japan,11509,1694,3786,8.5400065,4840013,Computer Science,Swimming,10,88.92,208
College 67,Canada,15570,8189,5357,9.742159,1284318,Business Administration,Athletics,26,100.0,552
College 78,Australia,11476,8542,1577,10.0,3240087,Business Administration,Tennis,7,67.31,270
College 18,Singapore,7340,13894,-6554,7.525424,3310848,Electrical Engineering,Swimming,45,99.4,470
College 27,Singapore,23480,12777,7141,9.3246265,2369253,Biotechnology,Football,16,94.71,727
College 51,India,25948,2842,3176,9.4226405,3525281,Mechanical Engineering,Athletics,46,86.28999999999999,586
College 60,China,15484,13452,2032,8.6644735,528947,Biotechnology,Cricket,28,65.85,368
College 74,India,13165,9828,3337,7.5663825,1592765,Mechanical Engineering,Chess,12,84.3,302
College 49,UK,12671,5200,7471,8.420328999999999,1400658,Biotechnology,Chess,29,67.25,284
College 15,Singapore,8408,5683,2460,9.2763475,4532695,Physics,Cricket,27,82.32000000000001,490
College 83,Singapore,15619,9850,2355,8.6914225,802845,Electrical Engineering,Basketball,44,89.06,374
College 73,USA,6304,7025,-721,8.8620065,2144013,Mathematics,Swimming,22,95.51,207
College 68,South Africa,11618,661,3238,8.7191605,718321,Civil Engineering,Basketball,8,92.52,447
College 15,Canada,27296,9003,8383,9.5393755,4478751,Civil Engineering,Tennis,18,87.45,757
College 51,UK,27064,14391,12673,7.4900945,2060189,Mechanical Engineering,Volleyball,28,69.47,397
College 48,USA,8413,1448,6965,9.6150095,1430019,Electrical Engineering,Tennis,26,100.0,369
College 72,India,17489,3037,4828,9.6774455,3134891,Mathematics,Cricket,10,86.28,275
College 1,China,2045,10887,-8842,8.0504935,2880987,Biotechnology,Athletics,10,83.76,209
College 7,South Africa,23295,2411,12856,10.0,4541037,Economics,Swimming,13,82.0,435
College 53,Japan,14159,2664,7032,8.312274500000001,2064549,Mathematics,Swimming,21,73.08,424
College 31,Canada,13561,12270,1291,9.0347845,3769569,Economics,Volleyball,43,75.74,224
College 18,Singapore,25475,11630,12143,7.9800215,4480043,Civil Engineering,Football,18,94.42,457
College 12,USA,5408,13186,-7778,8.997216,1274432,Mathematics,Tennis,19,74.01,356
College 48,Japan,4840,9935,-5095,10.0,4065354,Mechanical Engineering,Cricket,26,63.18,479
College 30,Canada,26444,11297,2821,8.656643,2233286,Civil Engineering,Athletics,26,78.97,505
College 97,Australia,25345,6758,1304,7.671835,763670,Mathematics,Cricket,38,91.99,623
College 7,Canada,25049,14155,5110,7.627054999999999,1554110,Physics,Basketball,16,79.67999999999999,471
College 92,UK,11073,7460,3613,8.01063,3221260,Mechanical Engineering,Basketball,3,83.94,440
College 3,Japan,8292,7539,753,9.126941,893882,Computer Science,Chess,10,90.96,452
College 63,USA,20126,1149,12124,8.356083,3012166,Mathematics,Athletics,24,71.32000000000001,276
College 6,UK,11257,12060,-803,9.006636499999999,933273,Physics,Badminton,8,87.53,201
College 95,Switzerland,29356,2680,14822,10.0,4596330,Civil Engineering,Volleyball,49,93.34,522
College 15,India,25405,13481,10598,9.1857915,4811583,Economics,Swimming,12,89.89,467
College 71,Canada,21233,9893,7768,8.7707825,3421565,Electrical Engineering,Athletics,17,100.0,376
College 43,Japan,7541,12445,-4904,7.9197595,2239519,Economics,Badminton,20,84.33,484
College 94,USA,17203,4861,5611,7.754891,3409782,Mechanical Engineering,Cricket,37,82.04,278
College 91,UK,18759,9319,5663,9.8569085,3253817,Physics,Tennis,14,73.19000000000001,649
College 81,Singapore,27918,13173,13809,7.040935500000001,1621871,Mathematics,Volleyball,33,91.48,402
College 18,USA,25556,4008,5762,10.0,4273422,Civil Engineering,Badminton,28,91.9,312
