Driver,LapNumber,Compound,Stint,TyreLife,Position,LapTime (s),Race,Year,LapTime_Delta,Cumulative_Degradation,PitStop,PitNextLap,RaceProgress,Normalized_TyreLife,Position_Change
SAI,49,HARD,3,13.0,5,79.52,Spanish Grand Prix,2024,-0.5420000000000016,-15.952000000000012,0,1,0.6282051282051282,0.4333333333333333,6.0
SAI,50,HARD,3,14.0,5,79.202,Spanish Grand Prix,2024,-1.1500000000000057,-16.27000000000001,0,1,0.6410256410256411,0.4666666666666667,6.0
SAI,51,HARD,3,15.0,5,79.046,Spanish Grand Prix,2024,0.0890000000000128,-16.426000000000002,0,1,0.6538461538461539,0.5,6.0
SAI,52,HARD,3,16.0,5,79.046,Spanish Grand Prix,2024,-2.1969999999999885,-16.426000000000002,0,1,0.6666666666666666,0.5333333333333333,5.0
SAI,53,HARD,3,17.0,5,79.259,Spanish Grand Prix,2024,0.0,-14.857000000000014,0,1,0.6794871794871795,0.5666666666666667,10.0
SAI,54,HARD,3,18.0,5,79.017,Spanish Grand Prix,2024,-1.5649999999999975,-15.099000000000018,0,1,0.6923076923076923,0.6,-4.0
SAI,55,HARD,3,19.0,6,81.334,Spanish Grand Prix,2024,0.5810000000000031,-12.78200000000001,0,1,0.7051282051282052,0.6333333333333333,-5.0
SAI,56,HARD,3,20.0,6,79.047,Spanish Grand Prix,2024,-2.051000000000002,-15.069000000000017,0,1,0.717948717948718,0.6666666666666666,-5.0
SAI,57,HARD,3,21.0,6,78.97,Spanish Grand Prix,2024,-1.912000000000006,-15.146000000000017,0,1,0.7307692307692307,0.7,-5.0
SAI,58,HARD,3,22.0,6,78.871,Spanish Grand Prix,2024,-32.492000000000004,-15.24500000000002,0,1,0.7435897435897436,0.7333333333333333,-5.0
SAI,59,HARD,3,23.0,6,78.978,Spanish Grand Prix,2024,-4.632000000000005,-15.13800000000002,0,1,0.7564102564102564,0.7666666666666667,0.0
SAI,60,HARD,3,24.0,6,79.115,Spanish Grand Prix,2024,-3.166000000000011,-15.00100000000002,0,1,0.7692307692307693,0.8,0.0
SAI,61,HARD,3,25.0,6,79.151,Spanish Grand Prix,2024,-3.3440000000000083,-14.965000000000018,0,1,0.782051282051282,0.8333333333333334,0.0
SAI,62,HARD,3,26.0,6,79.365,Spanish Grand Prix,2024,-3.359000000000009,-14.75100000000002,0,1,0.7948717948717948,0.8666666666666667,0.0
