ITEM_ID,ITEM_DESC,START_DATE,END_DATE,PRICE,ITEM_CLASS,ITEM_CATEGORY
8PV7G8G0,Item JUAR8,2018-03-29,2020-09-09,65.76,Beauty,Gadgets
JJ3NZBIG,Item Z5GV8,2005-06-19,2007-04-12,182.65,Clothing,Literature
EU92KUID,Item VZJAD,2013-05-01,2014-07-23,296.68,Electronics,Apparel
3JKKQM7Z,Item DAW5Q,2000-10-20,2001-07-18,264.51,Clothing,Skincare
M4OTGF34,Item L1O74,2024-02-20,2025-12-21,198.55,Books,Furniture
R6BCUED5,Item 9LDX8,2019-02-09,2020-02-25,307.14,Home,Gadgets
TSZM27KQ,Item DG972,2023-12-26,2025-01-28,361.86,Clothing,Apparel
KZF8G33X,Item H6T4Y,2010-03-23,2012-10-15,74.15,Home,Skincare
1NPVYOZI,Item 8VPZH,2018-06-14,2020-01-12,496.10,Beauty,Gadgets
AOV3KA9L,Item W33WQ,2010-02-18,2012-04-18,175.88,Home,Gadgets
AK01SG5V,Item VDALL,2003-05-09,2004-06-11,168.53,Electronics,Literature
7676IOFC,Item Y8WGC,2017-04-08,2019-01-14,279.34,Books,Gadgets
R0GQ4WNZ,Item 41R5Z,2002-05-23,2004-06-22,386.89,Beauty,Skincare
OZCY8DNJ,Item 61J3P,2022-05-26,2024-10-31,367.29,Books,Apparel
RUX7NT8O,Item VXE26,2024-12-18,2025-06-12,99.23,Clothing,Skincare
9GX7J1Z5,Item MCDI0,2023-07-08,2025-08-18,420.78,Beauty,Gadgets
MKA5GJM4,Item 2RM4T,2004-03-14,2005-12-26,30.78,Beauty,Apparel
LODKGFBL,Item 8QN4W,2013-12-10,2015-03-19,493.74,Home,Furniture
V5827YHK,Item CRNV3,2012-07-03,2014-11-13,146.65,Books,Gadgets
290E2H0C,Item Q3B1O,2024-05-13,2025-01-05,253.85,Electronics,Skincare
YD7ME8I6,Item 3SYMJ,2023-01-20,2024-12-18,280.39,Beauty,Apparel
I77IRFM6,Item TPWT0,2017-02-07,2019-10-31,368.76,Electronics,Apparel
Q96V8LOM,Item D7E7R,2014-05-27,2015-06-20,185.53,Beauty,Literature
6ILM2BQU,Item P66Y5,2016-02-02,2018-02-24,431.68,Beauty,Furniture
7KIZ0BO5,Item 90BN9,2024-05-30,2026-07-18,454.27,Beauty,Literature
9TS6E42N,Item JZXUS,2015-04-07,2016-03-27,263.95,Books,Furniture
M3XX334F,Item 9FY2C,2012-10-15,2014-10-11,267.24,Electronics,Literature
P3X2KOFW,Item ZA6F6,2020-08-05,2021-07-04,365.44,Clothing,Literature
LCSW1HS3,Item QVK6C,2004-08-20,2005-03-16,464.30,Clothing,Apparel
1M2SXXA7,Item DB5QK,2020-10-23,2022-03-03,302.80,Home,Furniture
ZW3CNIQC,Item U1TTH,2021-01-19,2023-08-25,235.45,Home,Furniture
